Name	Page Width	Page Height	Columns	Rows	Left Margin	Top Margin	Width	Height	Width plus gap	Height plus gap	Corner type	Radius X	Paper type	Orientation	Half page perf skip	Half page row count	Description	Units
2160 Address	6120	14400	1	8	1166	720	3787	1440	4954	1440	1	271	0	1	1440	4		1440
2160 Address - 1/2 Sheet	6120	7200	1	4	1166	720	3787	1440	4954	1440	1	271	0	1	0	0		1440
2162 Address	6120	14400	1	6	173	720	5760	1915	5947	1915	1	271	0	1	1440	3		1440
2162 Address - 1/2 Sheet	6120	7200	1	3	173	720	5760	1915	5947	1915	1	271	0	1	0	0		1440
2163 Address/Shipping - 1/2 Sheet	6120	7200	1	2	173	720	5760	2880	5947	2880	1	271	0	1	0	0		1440
2163 Address/Shipping	6120	14400	1	4	173	720	5760	2880	5947	2880	1	271	0	1	1440	2		1440
2180 File Folder - Assorted	6120	14400	1	12	648	720	4954	950	5472	950	1	271	0	1	1440	6		1440
2180 File Folder - Assorted - 1/2 Sheet	6120	7200	1	6	648	720	4954	950	5472	950	1	271	0	1	0	0		1440
2181 File Folder - White	6120	14400	1	12	648	720	4954	950	5472	950	1	271	0	1	1440	6		1440
2181 File Folder - White - 1/2 Sheet	6120	7200	1	6	648	720	4954	950	5472	950	1	271	0	1	0	0		1440
2186 3-1/2'' Diskette	6120	14400	1	4	1080	720	3960	2880	5040	2880	1	271	0	1	1440	2		1440
2186 3-1/2'' Diskette  - 1/2 Sheet	6120	7200	1	2	1080	720	3960	2880	5040	2880	1	271	0	1	0	0		1440
3110 Avery Kids'  Rectangle	8.5	11	3	6	0.375	1.125	2.375	1.25	2.6875	1.5	0	0	0	1	0	0		1
3111 Avery Kids'  Square Stickers	8.5	11	3	3	0.313	1.25	2.5	2.5	2.6875	3	0	0	0	1	0	0		1
3112 Avery Kids'  Small Round	8.5	11	4	5	0.5	0.75	1.5	1.5	2	2	2	0	0	1	0	0		1
3113 Avery Kids'  Big Round	8.5	11	3	3	0.3125	1.25	2.5	2.5	2.6875	3	2	0	0	1	0	0		1
3114 Avery Kids'  Full Page	8.5	11	1	1	0	0	8.5	11	0	0	0	0	0	1	0	0		1
3261 White Large Labels	8.5	11	2	6	0.375	1.125	3.75	1.25	4	1.5	0	0	0	1	0	0		1
3261 White Small Labels	8.5	11	3	6	0.375	1.125	2.375	1.25	2.6875	1.5	0	0	0	1	0	0		1
3263 White Post Cards	11	8.5	2	2	0	0	5.5	4.25	5.5	4.25	0	0	0	0	0	0		1
3267 Full-Size Card Sheet	8.5	11	1	1	0	0	8.5	11	0	0	0	0	0	1	0	0		1
3271 Iron-On T-Shirt Transfer Sheet	8.5	11	1	1	0	0	8.5	11	0	0	0	0	0	1	0	0		1
3610 Avery Kids'  Greeting Cards	11	8.5	2	1	0.75	0.75	4.5	7	5	7	0	0	0	0	0	0		1
3610 Avery Kids'  Greeting Cards	8.5	11	1	2	0.75	0.75	7	4.5	7	5	0	0	0	1	0	0		1
3611 Avery Kids'  Post Card	8.5	11	1	2	1.25	1.25	6	4	6	4.5	0	0	0	1	0	0		1
3612 Avery Kids'  Biz Card	8.5	11	2	4	0.5	0.75	3.5	2	4	2.5	0	0	0	1	0	0		1
3613 Avery Kids'  Laminated ID Cards	8.5	11	1	3	4.3125	0.8333	3.25	2	3.25	3.6666	0	0	0	1	0	0		1
4010 Address-Roll	6120	2880	1	2	540	45	5040	1351	5040	1440	1	180	1	1	0	0		1440
4011 Address-Roll	6840	4320	1	2	540	45	5760	2071	5760	2160	1	180	1	1	0	0		1440
4013 Address	6120	2880	1	2	540	45	5040	1351	5040	1440	1	180	1	1	0	0		1440
4014 Address	6840	4320	1	2	540	45	5760	2071	5760	2160	1	180	1	1	0	0		1440
4015 Address	8640	2880	1	2	720	45	7200	1351	7200	1440	1	180	1	1	0	0		1440
4016 Address	17640	1440	4	2	540	45	4032	631	4176	720	1	180	1	1	0	0		1440
4017 Shipping	6480	7200	1	2	540	90	5400	3420	5400	3600	1	180	1	1	0	0		1440
4018 Address - Removable	6120	2880	1	2	540	45	5040	1351	5040	1440	1	180	1	1	0	0		1440
4019 Address - Removable	6840	4320	1	2	540	45	5760	2071	5760	2160	1	180	1	1	0	0		1440
4020 Address	5760	2880	1	2	720	45	4320	1351	4320	1440	1	180	1	1	0	0		1440
4021 Address	19152	2880	4	2	720	45	4320	1351	4464	1440	1	180	1	1	0	0		1440
4022 Address	7200	5760	1	2	720	45	5760	2791	5760	2880	1	180	1	1	0	0		1440
4027 File Folder/Address	6120	1440	1	2	540	45	5040	631	5040	720	1	180	1	1	0	0		1440
